,kodPocztowy,lat,lon
0,98-200,52.19605092588393,17.753901506209694
100,97-300,52.76084075524558,17.409535745516177
200,98-220,52.324482042743455,17.760172794069437
300,98-275,52.123425673209084,17.584922401021345
400,97-300,52.81908046135045,17.426817195216504
500,98-220,52.33161383668017,17.71549830966272
600,97-213,52.980807745345075,17.53916676381717
700,98-220,52.341767593562615,17.757327996463093
800,97-300,52.8165889013145,17.41613427755856
900,98-220,52.30994638958422,17.739522174188004
1000,97-300,52.78894249156528,17.413697838832075
1100,97-360,52.661689349299266,17.090723572456465
1200,98-220,52.313343857378385,17.765682934074903
1300,97-545,52.65517962639585,17.039549101180828
1400,97-213,52.974932782104105,17.525848258963922
1500,98-220,52.3132312887585,17.758828720295522
1600,98-220,52.31237265519705,17.75820370403402
1700,97-300,52.808204147224764,17.40917497495175
1800,97-300,52.80103374906467,17.440991772193385
1900,95-100,52.626287623546865,18.193364996584563
2000,97-200,52.956451577206494,17.673961850362808
2100,97-213,53.006559232428614,17.52553695800914
2200,98-220,52.327562699300884,17.73860811841409
2300,97-300,52.773446557432706,17.450089790857607
2400,95-100,52.609609270721165,18.19937749567952
2500,97-213,52.98296476752875,17.49890041747373
2600,95-100,52.626189149290056,18.190503646113193
2700,98-200,52.201175311486494,17.700061533223955
2800,95-060,52.82478439525205,18.0844323524903
2900,97-300,52.81526551311267,17.471880637546906
3000,98-220,52.312446443088,17.72912962710068
3100,95-060,52.82986956928826,18.072809404195592
3200,97-300,52.78968665501329,17.423060695317755
3300,95-100,52.622343471395205,18.176990619470413
3400,95-100,52.59999891252774,18.11137385735124
3500,95-100,52.614108385753326,18.176076721026746
3600,97-300,52.797665695975745,17.417664083501315
3700,97-360,52.67513115797101,17.084692664413936
3800,97-300,52.781677541361475,17.41734893350633
3900,97-425,52.497374350990476,17.53004529133337
4000,97-425,52.48444661599206,17.534179298282655
4100,97-213,52.99812428958385,17.525093830495273
4200,97-300,52.770253362813214,17.463439263793166
4300,97-300,52.80915052833811,17.410533901411817
4400,95-100,52.57997599988951,18.186449820808676
4500,95-100,52.61786523485602,18.13430441766048
4600,95-100,52.61761876366279,18.157710611609083
4700,97-300,52.79340869144814,17.463126389933255
4800,98-220,52.31605005735938,17.735146023711998
4900,97-300,52.781106844836856,17.4369162536165
5000,98-275,52.11195953954802,17.598025975964543
5100,98-200,52.201181150442814,17.727618978242194
5200,98-200,52.18573638740197,17.725871648660977
5300,98-200,52.19375930080996,17.730762040659904
5400,97-545,52.65446556488946,17.033058159142016
5500,97-545,52.65415780858297,17.040984168753575
5600,97-545,52.66122322349287,17.031291766800397
5700,98-200,52.185289458746844,17.70008182963173
5800,98-200,52.1904390236166,17.72978217441727
5900,98-200,52.19972218211667,17.71068637736508
6100,95-060,52.82737245356182,18.06736558645871
6200,95-060,52.83558026401371,18.086901997369832
6300,95-060,52.83743463988969,18.07281609669894
6400,95-060,52.83582871981115,18.075363585753514
6500,96-130,53.02358394901017,18.036176201071004
6600,95-060,52.82807007008605,18.059258032994595
6700,95-060,52.823482224740104,18.0855838137989
6800,95-060,52.828586658886536,18.08036834909663
6900,95-060,52.830683884963925,18.063111737767628
7000,95-060,52.824703625790995,18.0753004942919
7400,98-235,52.00836315756129,17.856213700169285
7500,98-235,52.00745113572403,17.84607696251772
7600,98-200,52.18763889033891,17.726023293472924
7700,98-200,52.18675548504635,17.72399893376916
7900,98-200,52.172954437891164,17.775833800754885
8000,98-200,52.18607110839236,17.7242873264046
8200,98-200,52.20566424237937,17.72243285192229
8300,98-200,52.198882190568824,17.730939996473857
8500,97-200,52.970917067689626,17.66745312999819
8600,97-213,52.98107466410613,17.506572037722453
8700,97-200,52.95159641991065,17.68062731272213
8800,97-213,53.00503990290894,17.492393939181436
8900,97-213,52.95613677465281,17.53435381828029
9000,97-213,52.98931145528349,17.537029160106798
9300,97-213,52.995759723401655,17.52303984234405
9400,97-200,53.01447117404022,17.568537134807254
9500,97-213,52.98579410719794,17.50261956586672
9600,97-213,52.97108726421289,17.525403821634775
9700,97-512,52.735069118212266,16.91559219123151
9900,97-500,52.664513864621114,16.851036480573413
10000,97-213,52.997625992672205,17.538105565128703
10100,97-213,52.96688086768974,17.488428382182285
10500,97-561,52.57257393723376,16.89200498968684
10600,97-200,53.0232633031194,17.582031758532896
10900,97-213,53.000544319031874,17.52571956739868
11000,97-200,53.01999738675831,17.566991553032974
11100,97-213,52.99459493795304,17.496941599359975
11200,97-213,52.98595573440513,17.504285815380385
11600,97-200,52.97314086027991,17.692806390756935
11700,97-213,52.982086740273424,17.48503877651586
11900,97-200,52.92575056711448,17.650389527535285
12100,97-213,52.982463817083506,17.487489263221605
12200,97-200,52.973738188880155,17.671975138456027
12300,98-220,52.335120358065375,17.72505080988919
12400,98-220,52.356976269115634,17.705609986331886
12500,98-220,52.36214216215697,17.71110698625386
12600,98-220,52.32357764360798,17.74719116921188
12700,98-220,52.325467929266104,17.769073394284188
12800,98-220,52.31287276082902,17.741368414934843
12900,98-220,52.32375101780161,17.73267891973259
13000,98-220,52.36593471626863,17.702634536283686
13100,98-220,52.31399235981501,17.730839035579315
13200,98-220,52.3225644207206,17.733537409952376
13300,98-220,52.327265198225604,17.731168709543255
13400,98-220,52.31825792827078,17.72690862521271
13500,98-220,52.34132032739524,17.766234305402506
13600,98-220,52.32907044895552,17.753848369421824
13700,98-220,52.32386987060348,17.741423142857503
13800,98-220,52.349118328267416,17.709674750006055
13900,98-220,52.31669597426754,17.765724534103537
14000,98-220,52.33068776405744,17.744452365779377
14100,98-220,52.313299349930666,17.754060122057574
14200,98-220,52.32889008895733,17.76131874150537
14300,98-220,52.33525093409706,17.746480315051887
14400,98-220,52.31551009129355,17.749600180431237
14500,98-220,52.33559124832692,17.730627967678117
14600,98-220,52.332357776413765,17.722538068794925
14700,98-220,52.3122164941729,17.739715799706616
14800,98-220,52.31757603950603,17.74956645528155
14900,98-220,52.31622606900256,17.741123587479194
15000,98-220,52.310378886164706,17.737946134567228
15100,98-220,52.33647859311886,17.74787314207374
15200,98-220,52.32755826589777,17.752299205190997
15300,98-220,52.32675538147103,17.72729294304801
18500,98-405,51.89457394023306,17.346809413768618
18600,97-300,52.77297653790794,17.438906566955502
18700,97-300,52.788059522644346,17.43680993337245
18800,98-332,52.3791691638447,17.130254362862058
18900,97-300,52.783864697655346,17.407069073807747
19000,97-300,52.819409293682284,17.423617157554375
19100,97-300,52.75051885123071,17.40555287616383
19200,97-300,52.771370449176004,17.447977352483086
19300,97-300,52.780197662278646,17.446173464311503
19400,97-300,52.76764963588673,17.43895627755591
19500,97-300,52.75790375412414,17.423189640372506
19600,97-300,52.80099889849286,17.414546046206755
19700,97-300,52.80594450304091,17.407122948587695
19800,97-300,52.816025978130384,17.418127067720526
19900,97-300,52.820411376545536,17.417941338952343
20000,97-300,52.790753220874734,17.411191226990226
20100,97-300,52.78147733643615,17.452318176494984
20200,97-300,52.79183484878593,17.431648100327877
20300,97-300,52.775675001063455,17.446352602612635
20400,97-300,52.781409450541574,17.418822762400165
20500,97-300,52.79397211140618,17.412292260132258
20600,97-300,52.771982870757476,17.437218734972912
20700,97-300,52.81875529205324,17.41830075876612
20800,97-300,52.7908161738786,17.40453605491995
20900,97-300,52.792981440655204,17.44370539919124
21000,98-200,52.196257377803875,17.74653551026948
21100,96-130,53.031517944896926,18.042574608325673
22800,97-360,52.67320953350143,17.0860022949301
22900,97-360,52.671420578747274,17.08222747387942
23000,98-200,52.23492044777921,17.636559252493974
23100,97-360,52.6569973058483,17.07737179505816
24100,97-512,52.731908474931174,16.914767642603273
24200,98-220,52.31747118648128,17.74232498477236
24300,98-275,52.122683456419956,17.579363701040183
24400,97-425,52.4961416515675,17.520806807640202
24500,97-425,52.49975123915774,17.53800404171637
24600,97-425,52.49073740955156,17.522121049278784
24700,98-331,52.45477591877307,16.861868606428178
24800,97-425,52.48315842051482,17.533559954825353
24900,97-425,52.49110373887974,17.52660718076593
25000,97-425,52.49712660595139,17.520207297966405
25100,98-331,52.47321277711252,16.89207374591148
25200,97-425,52.496592565909005,17.51300602858705
25300,98-331,52.42354641789152,16.892048896828975
25400,97-410,52.50240559677536,17.192506734173392
25500,95-100,52.613673658161616,18.154267703261798
25600,95-100,52.62967487679071,18.15528184777556
25700,95-100,52.632664216909625,18.15378139460663
25800,95-100,52.60702815224975,18.18478766716474
25900,95-100,52.615305315297746,18.16441427985088
26000,95-100,52.6074165292662,18.212309631419323
26100,95-100,52.61861296370316,18.18832286882337
26200,95-100,52.60969770410935,18.186761819866074
26300,95-100,52.638463931799016,18.13677523827059
26400,95-100,52.634859286539154,18.169320768804287
26500,95-100,52.61202031951098,18.201781797066708
26600,95-100,52.61813539384622,18.178765050833157
26700,95-100,52.63894590660865,18.139922156619885
26800,95-100,52.62497988779819,18.13767632611686
26900,95-100,52.61088594206965,18.198783668537892
27000,95-100,52.63083399189416,18.161029772049226
27100,95-100,52.630296909168194,18.173243410684314
27200,95-100,52.60820019089244,18.14903428155309
27300,95-100,52.62456153672825,18.191770876668727
27400,97-215,53.12335923659733,17.602823805456016
27500,95-100,52.6138568600563,18.174437366355395
27600,95-100,52.617223819263074,18.184838529272
27700,95-100,52.606853497960934,18.18224202487727
27800,95-100,52.606876599165716,18.181459276033547
27900,95-100,52.59849707649398,18.191151999856114
28000,95-100,52.630829295309994,18.171879089034128
28100,95-100,52.6291653462258,18.18946249669824
28200,95-100,52.59605530418336,18.169734292834917
28300,95-100,52.616807855412375,18.147150792259307
28400,95-100,52.64264980627663,18.13396784419691
28500,95-100,52.62186466870338,18.133552271429686
28600,95-100,52.6268960537458,18.14602023052273
28700,95-100,52.63283696207,18.159351103127165
28800,95-100,52.61826371799918,18.18151905810812
28900,95-100,52.62370278899488,18.188716663831094
29000,95-100,52.63416077623506,18.154077111793747
29100,95-100,52.60230403570164,18.167536917311605
29200,95-100,52.60621059738415,18.18503535410744
29300,95-100,52.63816817069734,18.17769146177409
29400,97-215,53.11877836681295,17.617489445607116
29500,95-100,52.61988065042718,18.17610915903722
29600,95-100,52.58578810879738,18.19535122300003
29700,95-100,52.60206792157455,18.119693612741766
